Date.Time..GMT..0800,Avg_Temp,Avg_mV,Avg_pH,Sample.Name,TempInSitu,pHmean,SE
3/3/20 10:42,22.57,-92.43222222,8.117777778,NA,NA,NA,NA
3/3/20 10:43,22.5975,-86.0725,8.008333333,NA,NA,NA,NA
3/3/20 10:44,22.6,-84.29333333,7.975833333,NA,NA,NA,NA
3/3/20 10:45,22.61,-83.91666667,7.97,NA,NA,NA,NA
3/3/20 10:46,22.68,-83.45166667,7.964166667,NA,NA,NA,NA
3/3/20 10:47,22.775,-83.60666667,7.96,NA,NA,NA,NA
3/3/20 10:48,22.84916667,-83.54833333,7.96,NA,NA,NA,NA
3/3/20 10:49,22.90166667,-83.53666667,7.96,NA,NA,NA,NA
3/3/20 10:50,22.945,-83.545,7.96,NA,NA,NA,NA
3/3/20 10:51,22.98333333,-83.55166667,7.96,NA,NA,NA,NA
3/3/20 10:52,23.02166667,-83.5675,7.96,NA,NA,NA,NA
3/3/20 10:53,23.065,-83.52833333,7.959166667,NA,NA,NA,NA
3/3/20 10:54,23.09666667,-83.58666667,7.96,NA,NA,NA,NA
3/3/20 10:55,23.11833333,-84.08333333,7.968333333,NA,NA,NA,NA
3/3/20 10:56,23.15166667,-83.75166667,7.9625,NA,NA,NA,NA
3/3/20 10:57,23.19,-83.7175,7.9625,NA,NA,NA,NA
3/3/20 10:58,23.21666667,-83.48166667,7.958333333,NA,NA,NA,NA
3/3/20 10:59,23.24166667,-83.63,7.96,NA,NA,NA,NA
3/3/20 11:00,23.27666667,-83.63583333,7.96,NA,NA,NA,NA
3/3/20 11:01,23.2925,-83.68583333,7.960833333,NA,NA,NA,NA
3/3/20 11:02,23.32166667,-83.86083333,7.963333333,NA,NA,NA,NA
3/3/20 11:03,23.34,-83.715,7.96,NA,NA,NA,NA
3/3/20 11:04,23.35833333,-83.7275,7.9625,NA,NA,NA,NA
3/3/20 11:05,23.38666667,-83.66416667,7.96,NA,NA,NA,NA
3/3/20 11:06,23.49833333,-83.51833333,7.96,NA,NA,NA,NA
3/3/20 11:07,23.64916667,-83.39166667,7.96,NA,NA,NA,NA
3/3/20 11:08,23.8275,-83.30583333,7.958333333,T23,23.6,8.173998393,0.00108648
3/3/20 11:09,23.96416667,-83.235,7.95,NA,NA,NA,NA
3/3/20 11:10,24.05833333,-83.16333333,7.95,NA,NA,NA,NA
3/3/20 11:11,24.15083333,-83.1075,7.95,NA,NA,NA,NA
3/3/20 11:12,24.23333333,-83.12833333,7.950833333,NA,NA,NA,NA
3/3/20 11:13,24.29,-83.02166667,7.95,NA,NA,NA,NA
3/3/20 11:14,24.3325,-82.99666667,7.95,NA,NA,NA,NA
3/3/20 11:15,24.365,-82.995,7.95,NA,NA,NA,NA
3/3/20 11:16,24.395,-82.99666667,7.95,NA,NA,NA,NA
3/3/20 11:17,24.41333333,-83,7.95,NA,NA,NA,NA
3/3/20 11:18,24.435,-83.005,7.95,NA,NA,NA,NA
3/3/20 11:19,24.45,-83.00833333,7.95,NA,NA,NA,NA
3/3/20 11:20,24.45,-83.01916667,7.95,NA,NA,NA,NA
3/3/20 11:21,24.45,-83.03,7.95,NA,NA,NA,NA
3/3/20 11:22,24.46666667,-83.05666667,7.95,NA,NA,NA,NA
3/3/20 11:23,24.47,-83.08833333,7.95,NA,NA,NA,NA
3/3/20 11:24,24.46166667,-83.12416667,7.95,NA,NA,NA,NA
3/3/20 11:25,24.45,-83.1575,7.95,NA,NA,NA,NA
3/3/20 11:26,24.435,-83.1975,7.95,NA,NA,NA,NA
3/3/20 11:27,24.42,-83.25333333,7.95,NA,NA,NA,NA
3/3/20 11:28,24.4,-83.29583333,7.95,NA,NA,NA,NA
3/3/20 11:29,24.38666667,-83.3425,7.95,NA,NA,NA,NA
3/3/20 11:30,24.365,-83.38333333,7.958333333,NA,NA,NA,NA
3/3/20 11:31,24.33888889,-83.42444444,7.96,NA,NA,NA,NA
3/3/20 11:32,24.3225,-83.46083333,7.96,NA,NA,NA,NA
3/3/20 11:33,24.3,-83.48166667,7.96,NA,NA,NA,NA
3/3/20 11:34,24.29833333,-83.47666667,7.96,NA,NA,NA,NA
3/3/20 11:35,24.3,-83.42666667,7.96,NA,NA,NA,NA
3/3/20 11:36,24.3225,-83.3625,7.9575,NA,NA,NA,NA
3/3/20 11:37,24.35,-83.3325,7.95,NA,NA,NA,NA
3/3/20 11:38,24.38,-83.31833333,7.95,NA,NA,NA,NA
3/3/20 11:39,24.38166667,-83.32916667,7.95,NA,NA,NA,NA
3/3/20 11:40,24.4,-83.34666667,7.95,NA,NA,NA,NA
3/3/20 11:41,24.4,-83.35,7.95,NA,NA,NA,NA
