##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,5,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,26,,0.0349,0.0347,0.0354,0.0357,0.0354,0.0366,0.0361,0.0387,0.0358,0.0363,0.038,,,0.0324,0.0308,0.0315,0.0316,0.0321,0.0328,0.0327,0.0359,0.0323,0.0325,0.0349,,,0.0338,0.0338,0.0339,0.0341,0.035,0.0365,0.037,0.0402,0.0364,0.0356,0.039
,,,0.037,0.0368,0.0394,0.0367,0.0357,0.036,0.0354,0.0364,0.0364,0.0364,0.0371,,,0.0331,0.0332,0.0363,0.0332,0.0323,0.0326,0.0318,0.0338,0.033,0.0324,0.0341,,,0.0359,0.0354,0.0391,0.0367,0.0358,0.036,0.0358,0.0389,0.0365,0.0362,0.0383
,,,0.0367,0.0355,0.0362,0.0366,0.0375,0.0374,0.0364,0.039,0.0379,0.0363,0.0361,,,0.0331,0.0313,0.0325,0.0327,0.034,0.034,0.0329,0.0362,0.0348,0.032,0.0327,,,0.0352,0.0345,0.0356,0.0362,0.0371,0.0378,0.036,0.0392,0.0366,0.0357,0.0368
,,0.0377,0.0357,0.0372,0.036,0.0371,0.0361,,,,,,,,0.0343,0.0325,0.0328,0.0318,0.0332,0.0324,,,,,,,,0.0377,0.0369,0.0349,0.0351,0.0355,0.0352,,,,,,
,,0.0369,0.0363,0.036,0.0364,0.0356,0.0361,,,,,,,,0.0333,0.0324,0.0324,0.0326,0.0317,0.0318,,,,,,,,0.036,0.0348,0.0358,0.035,0.0347,0.0338,,,,,,
,,0.0362,0.0356,0.0356,0.0367,0.0357,0.036,,,,,,,,0.0323,0.0318,0.0316,0.0329,0.0321,0.032,,,,,,,,0.0342,0.0342,0.0346,0.0356,0.035,0.0347,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,5,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,26.5,,0.035,0.035,0.0354,0.0354,0.0352,0.035,0.035,0.0371,0.0361,0.0353,0.0383,,,0.3496,0.281,0.2728,0.2524,0.2564,0.2476,0.2494,0.2496,0.2571,0.3282,0.3521,,,0.2726,0.2984,0.3153,0.2846,0.2953,0.3265,0.3182,0.3303,0.3161,0.2762,0.293
,,,0.0361,0.0352,0.0375,0.0358,0.0355,0.0359,0.0358,0.0367,0.0361,0.0361,0.0371,,,0.3599,0.3048,0.2756,0.2722,0.2861,0.2605,0.2524,0.2396,0.2569,0.3479,0.3521,,,0.2758,0.3082,0.3001,0.3002,0.309,0.3344,0.3229,0.3135,0.3256,0.2918,0.2916
,,,0.0358,0.0357,0.036,0.0363,0.0365,0.0374,0.0359,0.0382,0.0372,0.0357,0.0361,,,0.3525,0.2834,0.2771,0.2912,0.2916,0.2633,0.2711,0.2482,0.263,0.3579,0.3556,,,0.2706,0.2834,0.3019,0.3152,0.3105,0.3214,0.3214,0.3044,0.3092,0.2935,0.29
,,0.0362,0.0354,0.0372,0.0359,0.0357,0.0356,,,,,,,,0.3259,0.3479,0.3788,0.3307,0.3003,0.2886,,,,,,,,0.2685,0.2701,0.2872,0.2847,0.2923,0.3072,,,,,,
,,0.0358,0.0357,0.0354,0.0358,0.0367,0.0359,,,,,,,,0.3403,0.3644,0.355,0.3377,0.3262,0.3246,,,,,,,,0.2783,0.2808,0.2692,0.2854,0.3118,0.341,,,,,,
,,0.0381,0.0354,0.0358,0.036,0.0354,0.0355,,,,,,,,0.3568,0.3318,0.3459,0.3293,0.3222,0.3008,,,,,,,,0.2909,0.2539,0.26,0.2748,0.3091,0.3108,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate_1-24-2020; Date Last Saved: 1/24/2020 3:52:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate2"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
