##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0362,0.0357,0.0349,0.0352,0.035,0.0354,0.036,0.0372,0.035,0.0388,0.0343,,,0.0339,0.0319,0.0319,0.0324,0.0319,0.033,0.0334,0.0361,0.0317,0.0355,0.0314,,,0.0361,0.0339,0.0342,0.0356,0.0345,0.0344,0.0371,0.0393,0.0345,0.0384,0.035
,,,0.0359,0.0344,0.0344,0.0362,0.0358,0.0358,0.0357,0.0363,0.0365,0.0358,0.0366,,,0.0328,0.0308,0.0309,0.0329,0.0327,0.0326,0.0323,0.0329,0.0334,0.0325,0.0338,,,0.0344,0.0324,0.0327,0.0354,0.0355,0.0348,0.0354,0.0357,0.0363,0.035,0.0371
,,,0.0368,0.0354,0.0354,0.0347,0.0347,0.036,0.0354,0.0355,0.0339,0.0333,0.0357,,,0.0334,0.0321,0.0321,0.0316,0.0315,0.0324,0.0326,0.0318,0.03,0.0294,0.0325,,,0.036,0.0346,0.0348,0.0339,0.0335,0.0345,0.0355,0.0337,0.032,0.0322,0.0351
,,0.0353,0.0362,0.038,0.0368,0.0361,0.0359,0.0356,0.0352,,,,,,0.0314,0.0331,0.0335,0.0338,0.0328,0.032,0.0323,0.0321,,,,,,0.0338,0.0362,0.0371,0.0368,0.0357,0.0346,0.0344,0.035,,,,
,,0.0348,0.0369,0.0356,0.035,0.034,0.034,0.0368,0.0376,,,,,,0.0314,0.0335,0.032,0.0319,0.0303,0.0298,0.0332,0.0334,,,,,,0.034,0.0361,0.0346,0.035,0.0325,0.0322,0.0362,0.0367,,,,
,,0.0364,0.0383,0.0343,0.0352,0.0351,0.0345,0.0348,0.0339,,,,,,0.033,0.0351,0.0305,0.0324,0.0316,0.0309,0.0313,0.0298,,,,,,0.0341,0.0377,0.0334,0.0348,0.0339,0.0328,0.0336,0.032,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25.5,,0.0346,0.0356,0.0353,0.035,0.0366,0.0353,0.0359,0.0351,0.0354,0.0381,0.0346,,,0.3953,0.3962,0.3785,0.3497,0.3487,0.3714,0.3485,0.3435,0.3615,0.4512,0.5164,,,0.3428,0.3716,0.354,0.3885,0.3875,0.4025,0.3849,0.3858,0.3967,0.3346,0.3644
,,,0.0357,0.0348,0.0349,0.0351,0.0355,0.0368,0.0347,0.0354,0.0356,0.0354,0.035,,,0.4099,0.3934,0.4264,0.3532,0.3599,0.3658,0.3554,0.3567,0.3717,0.4867,0.4822,,,0.3488,0.3636,0.3947,0.3855,0.3947,0.3891,0.3923,0.3953,0.4097,0.3583,0.3431
