PST,Temp_degC,mV,pH
2020-03-03T10:43:00Z,22.57,-87.88,8.04
2020-03-03T10:43:05Z,22.6,-87.38,8.03
2020-03-03T10:43:10Z,22.6,-86.92,8.02
2020-03-03T10:43:15Z,22.6,-86.6,8.02
2020-03-03T10:43:20Z,22.6,-86.28,8.01
2020-03-03T10:43:25Z,22.6,-86.03,8.01
2020-03-03T10:43:30Z,22.6,-85.72,8
2020-03-03T10:43:35Z,22.6,-85.57,8
2020-03-03T10:43:40Z,22.6,-85.36,8
2020-03-03T10:43:45Z,22.6,-85.19,7.99
2020-03-03T10:43:50Z,22.6,-85.03,7.99
2020-03-03T10:43:55Z,22.6,-84.91,7.99
2020-03-03T10:44:00Z,22.6,-84.67,7.98
2020-03-03T10:44:05Z,22.6,-84.53,7.98
2020-03-03T10:44:10Z,22.6,-84.52,7.98
2020-03-03T10:44:15Z,22.6,-84.47,7.98
2020-03-03T10:44:20Z,22.6,-84.3,7.98
2020-03-03T10:44:25Z,22.6,-84.25,7.98
2020-03-03T10:44:30Z,22.6,-84.22,7.98
2020-03-03T10:44:35Z,22.6,-84.19,7.97
2020-03-03T10:44:40Z,22.6,-84.13,7.97
2020-03-03T10:44:45Z,22.6,-84.11,7.97
2020-03-03T10:44:50Z,22.6,-84.08,7.97
2020-03-03T10:44:55Z,22.6,-84.05,7.97
2020-03-03T10:45:00Z,22.6,-84.03,7.97
2020-03-03T10:45:05Z,22.6,-84.05,7.97
2020-03-03T10:45:10Z,22.6,-83.99,7.97
2020-03-03T10:45:15Z,22.6,-83.97,7.97
2020-03-03T10:45:20Z,22.6,-83.92,7.97
2020-03-03T10:45:25Z,22.6,-83.96,7.97
2020-03-03T10:45:30Z,22.6,-83.92,7.97
2020-03-03T10:45:35Z,22.62,-83.91,7.97
2020-03-03T10:45:40Z,22.62,-83.88,7.97
2020-03-03T10:45:45Z,22.62,-83.85,7.97
2020-03-03T10:45:50Z,22.62,-83.8,7.97
2020-03-03T10:45:55Z,22.64,-83.72,7.97
2020-03-03T10:46:00Z,22.64,-80.3,7.91
2020-03-03T10:46:05Z,22.64,-83.6,7.96
2020-03-03T10:46:10Z,22.64,-83.75,7.97
2020-03-03T10:46:15Z,22.67,-84.25,7.98
2020-03-03T10:46:20Z,22.67,-83.75,7.97
2020-03-03T10:46:25Z,22.67,-83.74,7.97
2020-03-03T10:46:30Z,22.69,-83.63,7.96
2020-03-03T10:46:35Z,22.69,-83.69,7.97
2020-03-03T10:46:40Z,22.69,-83.71,7.97
2020-03-03T10:46:45Z,22.72,-83.67,7.97
2020-03-03T10:46:50Z,22.72,-83.67,7.97
2020-03-03T10:46:55Z,22.72,-83.66,7.97
2020-03-03T10:47:00Z,22.74,-83.64,7.96
2020-03-03T10:47:05Z,22.74,-83.64,7.96
2020-03-03T10:47:10Z,22.74,-83.63,7.96
2020-03-03T10:47:15Z,22.76,-83.63,7.96
2020-03-03T10:47:20Z,22.76,-83.63,7.96
2020-03-03T10:47:25Z,22.76,-83.63,7.96
2020-03-03T10:47:30Z,22.79,-83.61,7.96
2020-03-03T10:47:35Z,22.79,-83.61,7.96
2020-03-03T10:47:40Z,22.79,-83.55,7.96
2020-03-03T10:47:45Z,22.81,-83.57,7.96
2020-03-03T10:47:50Z,22.81,-83.57,7.96
2020-03-03T10:47:55Z,22.81,-83.57,7.96
2020-03-03T10:48:00Z,22.81,-83.57,7.96
2020-03-03T10:48:05Z,22.84,-83.57,7.96
2020-03-03T10:48:10Z,22.84,-83.55,7.96
2020-03-03T10:48:15Z,22.84,-83.55,7.96
2020-03-03T10:48:20Z,22.84,-83.53,7.96
2020-03-03T10:48:25Z,22.84,-83.53,7.96
2020-03-03T10:48:30Z,22.86,-83.53,7.96
2020-03-03T10:48:35Z,22.86,-83.55,7.96
2020-03-03T10:48:40Z,22.86,-83.55,7.96
2020-03-03T10:48:45Z,22.86,-83.55,7.96
2020-03-03T10:48:50Z,22.86,-83.55,7.96
2020-03-03T10:48:55Z,22.88,-83.55,7.96
2020-03-03T10:49:00Z,22.88,-83.53,7.96
2020-03-03T10:49:05Z,22.88,-83.53,7.96
2020-03-03T10:49:10Z,22.88,-83.55,7.96
2020-03-03T10:49:15Z,22.88,-83.53,7.96
2020-03-03T10:49:20Z,22.91,-83.53,7.96
2020-03-03T10:49:25Z,22.91,-83.53,7.96
2020-03-03T10:49:30Z,22.91,-83.55,7.96
2020-03-03T10:49:35Z,22.91,-83.55,7.96
2020-03-03T10:49:40Z,22.91,-83.55,7.96
2020-03-03T10:49:45Z,22.91,-83.53,7.96
2020-03-03T10:49:50Z,22.91,-83.53,7.96
2020-03-03T10:49:55Z,22.93,-83.53,7.96
2020-03-03T10:50:00Z,22.93,-83.53,7.96
2020-03-03T10:50:05Z,22.93,-83.55,7.96
2020-03-03T10:50:10Z,22.93,-83.53,7.96
2020-03-03T10:50:15Z,22.93,-83.55,7.96
2020-03-03T10:50:20Z,22.93,-83.55,7.96
2020-03-03T10:50:25Z,22.93,-83.55,7.96
2020-03-03T10:50:30Z,22.96,-83.55,7.96
2020-03-03T10:50:35Z,22.96,-83.55,7.96
2020-03-03T10:50:40Z,22.96,-83.53,7.96
2020-03-03T10:50:45Z,22.96,-83.55,7.96
2020-03-03T10:50:50Z,22.96,-83.55,7.96
2020-03-03T10:50:55Z,22.96,-83.55,7.96
2020-03-03T10:51:00Z,22.96,-83.55,7.96
2020-03-03T10:51:05Z,22.98,-83.55,7.96
2020-03-03T10:51:10Z,22.98,-83.55,7.96
2020-03-03T10:51:15Z,22.98,-83.55,7.96
2020-03-03T10:51:20Z,22.98,-83.55,7.96
2020-03-03T10:51:25Z,22.98,-83.55,7.96
2020-03-03T10:51:30Z,22.98,-83.55,7.96
2020-03-03T10:51:35Z,22.98,-83.55,7.96
2020-03-03T10:51:40Z,22.98,-83.55,7.96
2020-03-03T10:51:45Z,23,-83.57,7.96
2020-03-03T10:51:50Z,23,-83.55,7.96
2020-03-03T10:51:55Z,23,-83.55,7.96
2020-03-03T10:52:00Z,23,-83.55,7.96
2020-03-03T10:52:05Z,23,-83.53,7.96
2020-03-03T10:52:10Z,23,-83.55,7.96
2020-03-03T10:52:15Z,23,-83.57,7.96
2020-03-03T10:52:20Z,23.03,-83.57,7.96
2020-03-03T10:52:25Z,23.03,-83.57,7.96
2020-03-03T10:52:30Z,23.03,-83.58,7.96
2020-03-03T10:52:35Z,23.03,-83.58,7.96
2020-03-03T10:52:40Z,23.03,-83.58,7.96
2020-03-03T10:52:45Z,23.03,-83.58,7.96
2020-03-03T10:52:50Z,23.03,-83.57,7.96
2020-03-03T10:52:55Z,23.05,-83.58,7.96
2020-03-03T10:53:00Z,23.05,-83.57,7.96
2020-03-03T10:53:05Z,23.05,-83.58,7.96
2020-03-03T10:53:10Z,23.05,-83.58,7.96
2020-03-03T10:53:15Z,23.05,-83.58,7.96
2020-03-03T10:53:20Z,23.05,-83.58,7.96
2020-03-03T10:53:25Z,23.05,-82.82,7.95
2020-03-03T10:53:30Z,23.08,-83.63,7.96
2020-03-03T10:53:35Z,23.08,-83.6,7.96
2020-03-03T10:53:40Z,23.08,-83.6,7.96
2020-03-03T10:53:45Z,23.08,-83.6,7.96
2020-03-03T10:53:50Z,23.08,-83.6,7.96
2020-03-03T10:53:55Z,23.08,-83.6,7.96
2020-03-03T10:54:00Z,23.08,-83.6,7.96
2020-03-03T10:54:05Z,23.08,-83.6,7.96
2020-03-03T10:54:10Z,23.1,-83.6,7.96
2020-03-03T10:54:15Z,23.1,-83.6,7.96
2020-03-03T10:54:20Z,23.1,-83.58,7.96
2020-03-03T10:54:25Z,23.1,-83.58,7.96
2020-03-03T10:54:30Z,23.1,-83.58,7.96
2020-03-03T10:54:35Z,23.1,-83.58,7.96
2020-03-03T10:54:40Z,23.1,-83.58,7.96
2020-03-03T10:54:45Z,23.1,-83.58,7.96
2020-03-03T10:54:50Z,23.1,-83.58,7.96
2020-03-03T10:54:55Z,23.1,-83.58,7.96
2020-03-03T10:55:00Z,23.1,-83.58,7.96
2020-03-03T10:55:05Z,23.12,-83.6,7.96
2020-03-03T10:55:10Z,23.12,-83.6,7.96
2020-03-03T10:55:15Z,23.12,-83.58,7.96
2020-03-03T10:55:20Z,23.12,-83.58,7.96
2020-03-03T10:55:25Z,23.12,-83.58,7.96
2020-03-03T10:55:30Z,23.12,-83.58,7.96
