##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate3,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,5,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,26,,0.0343,0.0388,0.0349,0.0346,0.0367,0.0344,0.0354,0.039,0.036,0.0348,0.0362,,,0.0358,0.0362,0.0315,0.0306,0.0331,0.0302,0.0328,0.0363,0.0334,0.0303,0.0327,,,0.0348,0.0394,0.034,0.0328,0.036,0.0335,0.0384,0.0398,0.038,0.033,0.037
,,,0.0355,0.0375,0.0366,0.0352,0.0355,0.0349,0.0354,0.0356,0.0349,0.0366,0.0371,,,0.0325,0.0342,0.0335,0.0319,0.0321,0.0312,0.0321,0.0328,0.0309,0.0324,0.0342,,,0.0346,0.0365,0.0363,0.0349,0.0353,0.0347,0.0359,0.0362,0.034,0.0356,0.0382
,,,0.0363,0.0353,0.0353,0.0353,0.0366,0.0354,0.0368,0.0381,0.038,0.035,0.0355,,,0.0328,0.0312,0.0316,0.0309,0.033,0.0319,0.0326,0.0351,0.0354,0.03,0.0317,,,0.0342,0.0342,0.0345,0.0339,0.0353,0.0351,0.0359,0.0379,0.0384,0.0323,0.0354
,,0.0349,0.0354,0.0364,0.0357,0.0369,0.0366,,,,,,,,0.0313,0.0322,0.0324,0.0316,0.0331,0.033,,,,,,,,0.034,0.0353,0.0345,0.034,0.0354,0.036,,,,,,
,,0.0353,0.0358,0.0366,0.0346,0.0349,0.0368,,,,,,,,0.0321,0.0318,0.0327,0.0303,0.0311,0.0331,,,,,,,,0.0349,0.0341,0.036,0.032,0.0345,0.0358,,,,,,
,,0.0361,0.0345,0.0352,0.0367,0.036,0.0362,,,,,,,,0.0327,0.0306,0.0309,0.033,0.0322,0.0321,,,,,,,,0.0345,0.0336,0.0341,0.0357,0.0352,0.0349,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate4,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,5,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,26.5,,0.0344,0.0383,0.0351,0.0347,0.0365,0.0344,0.0348,0.0366,0.0355,0.035,0.0385,,,0.3953,0.2824,0.2781,0.2285,0.2839,0.2555,0.2303,0.3403,0.3584,0.361,0.3636,,,0.2558,0.3018,0.2913,0.2884,0.3058,0.3279,0.3008,0.2749,0.2881,0.3102,0.2834
,,,0.035,0.0366,0.0354,0.0351,0.0345,0.0347,0.0364,0.0354,0.0351,0.0358,0.0368,,,0.4251,0.2699,0.2777,0.2511,0.2956,0.2461,0.242,0.3344,0.3796,0.3399,0.3616,,,0.28,0.276,0.2829,0.3012,0.3002,0.3256,0.3017,0.2701,0.2969,0.2943,0.2819
,,,0.0351,0.0357,0.0356,0.0351,0.0355,0.0357,0.0361,0.0374,0.0392,0.0355,0.0359,,,0.3329,0.2808,0.2966,0.2738,0.2866,0.2431,0.2613,0.339,0.3312,0.3526,0.3679,,,0.2233,0.2867,0.302,0.324,0.2912,0.3082,0.324,0.2696,0.2665,0.3028,0.2849
,,0.0349,0.0357,0.0379,0.0354,0.0353,0.0362,,,,,,,,0.331,0.3364,0.3119,0.3151,0.2752,0.2577,,,,,,,,0.2593,0.2827,0.3089,0.3039,0.2874,0.3108,,,,,,
,,0.0353,0.0357,0.0361,0.0357,0.035,0.0361,,,,,,,,0.3375,0.3136,0.2953,0.33,0.2922,0.2861,,,,,,,,0.2639,0.263,0.2906,0.3135,0.3038,0.3223,,,,,,
,,0.0371,0.0351,0.0354,0.0362,0.0355,0.0396,,,,,,,,0.3559,0.3174,0.3173,0.2966,0.2941,0.2734,,,,,,,,0.2766,0.2615,0.3064,0.2838,0.3032,0.3093,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate_1-22-2020; Date Last Saved: 1/22/2020 5:14:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate3"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate4"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
